"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.579065400E-2,4.914449453E-1,-3.687534332E-1,-2.886390686E-1,6.788296846E-1
1.828575400E-2,5.704950094E-1,-4.548535347E-1,-3.196892738E-1,7.965911910E-1
2.078083100E-2,6.025731564E-1,-5.235347748E-1,-4.348845482E-1,9.090146530E-1
2.327590800E-2,6.215958595E-1,-6.165304184E-1,-5.538330078E-1,1.035964367E0
2.577098500E-2,6.408379078E-1,-6.240382195E-1,-6.345524788E-1,1.096701314E0
2.826606200E-2,6.647840738E-1,-6.079835892E-1,-6.654453278E-1,1.119999729E0
3.076114400E-2,6.344789267E-1,-5.746550560E-1,-7.501311302E-1,1.138195350E0
3.325622100E-2,5.214670897E-1,-5.607080460E-1,-7.691655159E-1,1.085328074E0
3.575129700E-2,4.991488457E-1,-4.763278961E-1,-7.912316322E-1,1.049802520E0
3.824637300E-2,4.480688572E-1,-4.302887917E-1,-7.271537781E-1,9.563821213E-1
4.074144900E-2,4.686417580E-1,-3.722066879E-1,-7.102999687E-1,9.288105089E-1
4.323653000E-2,4.494768381E-1,-3.461222649E-1,-6.243100166E-1,8.435597472E-1
4.573160700E-2,4.520924091E-1,-3.036441803E-1,-5.456066132E-1,7.708916337E-1
4.822668400E-2,4.018499851E-1,-3.537406921E-1,-4.465804100E-1,6.971728268E-1
5.072176100E-2,2.989718914E-1,-4.161076546E-1,-3.416352272E-1,6.158282232E-1
5.321683800E-2,3.198164701E-1,-3.769755363E-1,-2.298989296E-1,5.452033083E-1
5.571192000E-2,4.025020599E-1,-3.597683907E-1,-1.150460243E-1,5.519753535E-1
5.820699700E-2,4.895609617E-1,-2.907557487E-1,-6.658697128E-2,5.732736392E-1
6.070207400E-2,5.408536196E-1,-2.735738754E-1,2.241706848E-2,6.065210863E-1
6.319715100E-2,5.810977221E-1,-2.781162262E-1,1.422057152E-1,6.597315085E-1
6.569199900E-2,6.172190905E-1,-2.136893272E-1,2.156944275E-1,6.878565405E-1
6.818705400E-2,6.619910002E-1,-1.821908951E-1,2.818942070E-1,7.422196107E-1
7.068213100E-2,5.274554491E-1,-1.388792992E-1,3.507361412E-1,6.484693912E-1
7.317720800E-2,1.563701630E-1,-5.769920349E-2,2.644963264E-1,3.126325841E-1
7.567228500E-2,1.061044931E-1,1.826858521E-2,1.796636581E-1,2.094538964E-1
7.816759200E-2,1.730228662E-1,-2.954101562E-2,3.425636292E-1,3.849148268E-1
8.066242000E-2,2.519434690E-1,-9.408473969E-2,4.392471313E-1,5.150393113E-1
8.315772600E-2,2.587980032E-1,-1.727876663E-1,5.439667702E-1,6.266831984E-1
8.565257400E-2,2.888662815E-1,-1.893186569E-1,5.937533379E-1,6.868975969E-1
8.814764900E-2,2.987020016E-1,-2.178587914E-1,6.694707870E-1,7.647721709E-1
9.064272600E-2,3.355981112E-1,-1.968297958E-1,7.028374672E-1,8.033358986E-1
9.313802900E-2,3.332722187E-1,-2.105035782E-1,7.614436150E-1,8.574255110E-1
9.563310800E-2,3.594511747E-1,-2.020125389E-1,8.004965782E-1,9.004493237E-1
9.812818500E-2,3.781068325E-1,-2.065162659E-1,8.571391106E-1,9.593233030E-1
1.006230310E-1,3.994660378E-1,-1.940240860E-1,9.112243652E-1,1.013680573E0
1.031181060E-1,3.752439022E-1,-2.105054855E-1,9.849457741E-1,1.074820321E0
1.056131830E-1,4.066430330E-1,-1.710782051E-1,1.020344734E0,1.111633791E0
1.081082600E-1,4.254595041E-1,-1.586265564E-1,1.084932327E0,1.176119181E0
1.106033370E-1,4.656718969E-1,-1.457514763E-1,1.124916077E0,1.226185136E0
1.130984130E-1,4.705317020E-1,-1.362943649E-1,1.213501930E0,1.308649369E0
1.155934990E-1,5.163515806E-1,-1.259322166E-1,1.219350338E0,1.330147783E0
1.180885760E-1,5.300295353E-1,-1.034264565E-1,1.262042522E0,1.372727092E0
1.205836530E-1,5.846154690E-1,-7.105875015E-2,1.202840805E0,1.339272412E0
1.230787300E-1,5.992773771E-1,-5.156421661E-2,1.197552204E0,1.340120713E0
1.255738070E-1,6.300884485E-1,-2.091407776E-2,1.156463623E0,1.317139690E0
1.280688890E-1,6.556262970E-1,-5.482673645E-3,1.104095936E0,1.284096467E0
1.305639660E-1,6.788141727E-1,-5.376529694E-2,9.839406013E-1,1.196586184E0
1.330590430E-1,7.280296087E-1,-2.970790863E-1,7.174735069E-1,1.064448838E0
1.355541200E-1,7.836691141E-1,-1.855034828E-1,9.315900803E-1,1.231425556E0
1.380491970E-1,7.919840217E-1,-9.392452240E-2,9.222249985E-1,1.219245445E0
1.405442590E-1,8.417658806E-1,-1.101117134E-1,6.441378593E-1,1.065649083E0
1.430393360E-1,9.265991449E-1,-8.769464493E-2,6.099362373E-1,1.112788632E0
1.455344130E-1,9.865277410E-1,-1.209421158E-1,5.742316246E-1,1.147870175E0
1.480294900E-1,8.062759638E-1,-1.343069077E-1,4.519429207E-1,9.340083933E-1
1.505245670E-1,5.937738419E-1,-1.986551285E-2,2.575926781E-1,6.475461386E-1
1.530196590E-1,3.352261186E-1,7.890748978E-2,6.081867218E-2,3.497168189E-1
1.555147360E-1,3.619158268E-2,2.104573250E-1,-4.873847961E-2,2.190377951E-1
1.580098130E-1,-1.932072639E-1,2.555928230E-1,-1.152200699E-1,3.404884764E-1
1.605048900E-1,-2.664334178E-1,2.539691925E-1,-1.567163467E-1,4.000589084E-1
1.629999910E-1,-2.678771019E-1,2.546010017E-1,-1.739978790E-1,4.084789759E-1
1.654950680E-1,-2.817714810E-1,2.255210876E-1,-2.282958031E-1,4.270525755E-1
1.679900690E-1,-1.442831755E-1,2.334828377E-1,-2.553749084E-1,3.748976048E-1
1.704851440E-1,2.079570293E-2,1.780476570E-1,-3.350243568E-1,3.799667737E-1
1.729802210E-1,1.115899682E-1,-3.830671310E-2,-4.566488266E-1,4.716438022E-1
1.754753840E-1,1.943892241E-1,-2.557873726E-1,-6.778969765E-1,7.501724209E-1
1.779704630E-1,6.525915861E-2,-2.440371513E-1,-7.826738358E-1,8.224300713E-1
1.804655400E-1,-1.671128273E-1,-1.626911163E-1,-9.464340210E-1,9.747473788E-1
1.829606170E-1,-2.179935873E-1,-2.210869789E-1,-1.106206894E0,1.148953588E0
1.854556790E-1,-1.584438086E-1,-2.382254601E-1,-1.164972305E0,1.199590048E0
1.879507560E-1,-1.174563766E-1,-2.655491829E-1,-1.130657673E0,1.167347053E0
1.904458330E-1,-3.939831257E-2,-2.767858505E-1,-1.226540089E0,1.257999691E0
1.929409100E-1,-6.448328495E-3,-2.940459251E-1,-1.144229889E0,1.181425675E0
1.954359100E-1,8.187013865E-2,-2.828822136E-1,-1.070740223E0,1.110499748E0
1.979309800E-1,1.057105660E-1,-3.240718842E-1,-8.924827576E-1,9.553652613E-1
2.004260570E-1,1.729645729E-1,-3.546643257E-1,-7.563505173E-1,8.530941521E-1
2.029211340E-1,3.066010475E-1,-4.286103249E-1,-5.473713875E-1,7.598200108E-1
2.054162110E-1,3.805326819E-1,-3.855247498E-1,-3.118867874E-1,6.250662548E-1
2.079112880E-1,3.959029913E-1,-3.507890701E-1,-1.681413651E-1,5.550348357E-1
2.104063700E-1,3.279452324E-1,-3.163614273E-1,-1.274409294E-1,4.731530605E-1
2.129014470E-1,2.620365918E-1,-2.658009529E-1,1.128673553E-3,3.732487052E-1
2.153965240E-1,2.364657521E-1,-1.876907349E-1,1.135668755E-1,3.225543351E-1
2.178916010E-1,2.074925303E-1,-2.014994621E-1,2.035851479E-1,3.536977464E-1
2.203867540E-1,2.586504221E-1,-2.151951790E-1,2.975516319E-1,4.491614182E-1
2.228817320E-1,2.238893509E-1,-2.469716072E-1,4.446821213E-1,5.557549867E-1
2.253768070E-1,2.538234591E-1,-2.300047874E-1,4.914374352E-1,5.990319719E-1
2.278718840E-1,2.291010022E-1,-2.925276756E-1,4.934067726E-1,6.176649201E-1
2.303669610E-1,2.038292885E-1,-3.235654831E-1,4.590697289E-1,5.974830681E-1
2.328620380E-1,1.553029269E-1,-3.769078255E-1,5.198898315E-1,6.606541795E-1
2.353570910E-1,1.444722265E-1,-4.709858894E-1,3.935871124E-1,6.305638329E-1
2.378521680E-1,1.046670973E-2,-6.712150574E-1,3.486509323E-1,7.564368301E-1
2.403472450E-1,-3.304271102E-1,-1.259982586E0,3.705334663E-1,1.354264834E0
2.428423220E-1,-2.978904545E-1,-1.403491974E0,2.368559837E-1,1.454176468E0
2.453373990E-1,-3.473614454E-1,-1.560151577E0,4.679870605E-2,1.599038160E0
2.478324570E-1,-3.001925647E-1,-1.614966393E0,5.193424225E-2,1.643450392E0
2.503275340E-1,-2.786910534E-1,-1.610749245E0,2.663998604E-1,1.656245972E0
2.528226110E-1,-2.423408926E-1,-1.630154610E0,8.824539185E-2,1.650430371E0
2.553176880E-1,-1.617623121E-1,-1.541458130E0,-6.636619568E-2,1.551342865E0
2.578127650E-1,-1.324673593E-1,-1.377178192E0,-8.434629440E-2,1.386103052E0
2.603076170E-1,-9.921369702E-2,-1.162428856E0,-1.582498550E-1,1.177339042E0
2.628029220E-1,-8.900675923E-2,-9.674472809E-1,-2.158727646E-1,9.952273584E-1
2.652980010E-1,-7.016594708E-2,-7.740459442E-1,-2.657971382E-1,8.214125045E-1
2.677930780E-1,-1.538690180E-1,-6.685070992E-1,-3.251209259E-1,7.591317625E-1
2.702881550E-1,-2.612239718E-1,-5.540785789E-1,-3.985214233E-1,7.307943349E-1
2.727832320E-1,-4.271376133E-1,-4.097552299E-1,-3.097715378E-1,6.680600982E-1
2.752783090E-1,-5.387670994E-1,-2.424182892E-1,-3.052382469E-1,6.649864673E-1
2.777733860E-1,-6.679189205E-1,-1.496200562E-1,-3.870940208E-1,7.863482858E-1
2.802684630E-1,-7.502260208E-1,-4.523849487E-2,-5.001411438E-1,9.027883293E-1
2.827635310E-1,-9.425121546E-1,1.449384689E-1,-5.071935654E-1,1.080084087E0
2.852586080E-1,-1.171207786E0,2.720856667E-1,-5.376625061E-1,1.317132969E0
2.877534540E-1,-1.394271255E0,3.749637604E-1,-5.232219696E-1,1.535692476E0
2.902485290E-1,-1.532698274E0,5.250411034E-1,-4.423193932E-1,1.679428059E0
2.927436060E-1,-1.741831899E0,6.121792793E-1,-3.186850548E-1,1.873579995E0
2.952386730E-1,-1.849011898E0,6.949739456E-1,-2.329778671E-1,1.988997856E0
2.977337500E-1,-2.019631863E0,7.609562874E-1,-5.709934235E-2,2.158987649E0
3.002288260E-1,-2.139231682E0,8.923082352E-1,1.098518372E-1,2.320472711E0
3.027241340E-1,-2.259942770E0,8.916392326E-1,2.356309891E-1,2.440877672E0
3.052189630E-1,-2.242599487E0,8.652229309E-1,2.419595718E-1,2.415865811E0
3.077142690E-1,-2.221988440E0,8.660316467E-1,2.689886093E-1,2.399916313E0
3.102091170E-1,-2.194668293E0,7.505245209E-1,3.396186829E-1,2.344183615E0
3.127041920E-1,-2.062088728E0,6.792225838E-1,2.852411270E-1,2.189729604E0
3.151992690E-1,-2.022149086E0,6.905097961E-1,1.141605377E-1,2.139841894E0
3.176943700E-1,-1.913828492E0,5.822148323E-1,-1.796245575E-1,2.008476684E0
3.201894470E-1,-1.680857062E0,3.356623650E-1,-3.171601295E-1,1.743140911E0
3.226845240E-1,-1.397279978E0,-6.660461426E-2,-4.930834770E-1,1.483225818E0
3.251796010E-1,-1.077811718E0,-4.141106606E-1,-4.190874100E-1,1.228332201E0
3.276746780E-1,-7.653333545E-1,-5.515012741E-1,4.723739624E-2,9.445211329E-1
3.301697500E-1,-6.077048779E-1,-6.904010773E-1,-4.787445068E-3,9.197726815E-1
3.326648270E-1,-4.819556475E-1,-9.078445435E-1,-7.179641724E-1,1.253768525E0
3.351599040E-1,-3.961271644E-1,-1.001712799E0,-1.130614758E0,1.561612946E0
3.376549810E-1,-3.886206746E-1,-7.005410194E-1,-9.776234627E-1,1.263934881E0
3.401500580E-1,-3.728330731E-1,-4.460802078E-1,-9.158253670E-1,1.084771015E0
3.426450440E-1,-3.504595160E-1,-5.851073265E-1,-1.317696095E0,1.483743729E0
3.451401960E-1,-2.779150605E-1,-5.703010559E-1,-1.707862854E0,1.821887923E0
3.476352750E-1,-1.870149970E-1,-4.822511673E-1,-1.618912697E0,1.699534971E0
