"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.749937800E-2,-6.051182747E-2,-2.272577286E-1,-3.280685902E0,3.289104398E0
1.999416200E-2,-1.251196861E-2,-5.220794678E-2,-3.058685780E0,3.059156896E0
2.248916000E-2,1.162996292E-1,6.361055374E-2,-2.810630560E0,2.813754796E0
2.498400800E-2,3.052823544E-1,6.358957291E-2,-2.546597958E0,2.565619244E0
2.747877700E-2,4.871544838E-1,4.556655884E-3,-2.229986191E0,2.282581579E0
2.997378000E-2,6.880879402E-1,-7.947921753E-2,-1.903808594E0,2.025899583E0
3.246855100E-2,8.433423042E-1,-1.112980843E-1,-1.587731838E0,1.801251203E0
3.496339500E-2,9.312102795E-1,-1.933779716E-1,-1.247693539E0,1.568848874E0
3.745839500E-2,9.951777458E-1,-2.094421387E-1,-9.705939293E-1,1.405808426E0
3.995316700E-2,1.037751436E0,-2.423906326E-1,-6.693105698E-1,1.258434703E0
4.244803000E-2,1.024431229E0,-2.194285393E-1,-3.977713585E-1,1.120638336E0
4.494280100E-2,9.709613323E-1,-1.683068275E-1,-1.126732826E-1,9.918610617E-1
4.743779900E-2,9.432840347E-1,-1.472878456E-1,1.143999100E-1,9.615434567E-1
4.993264700E-2,9.360079765E-1,-1.381416321E-1,3.684887886E-1,1.015370883E0
5.242741600E-2,9.437990189E-1,-1.435976028E-1,6.411404610E-1,1.149973022E0
5.492243300E-2,9.265367985E-1,-2.103085518E-1,8.610987663E-1,1.282260196E0
5.741728200E-2,9.804506302E-1,-2.385840416E-1,1.062296391E0,1.465155079E0
5.991205100E-2,1.016312122E0,-2.914628983E-1,1.296158791E0,1.672683043E0
6.240704900E-2,9.708044529E-1,-3.663311005E-1,1.505503178E0,1.828441845E0
6.490184400E-2,8.918035030E-1,-4.670038223E-1,1.692339897E0,1.969116651E0
6.739668800E-2,8.184537888E-1,-5.012388229E-1,1.881473541E0,2.112119705E0
6.989168800E-2,7.405862808E-1,-5.265994072E-1,2.090455055E0,2.279424777E0
7.238646000E-2,6.205575466E-1,-5.691661835E-1,2.183146000E0,2.339907748E0
7.488130400E-2,5.346016884E-1,-5.958285332E-1,2.266820431E0,2.404014449E0
7.737609400E-2,4.180984497E-1,-5.912284851E-1,2.297184467E0,2.408612445E0
7.987109200E-2,2.651543617E-1,-5.668573380E-1,2.236791611E0,2.322686115E0
8.236594000E-2,1.352090836E-1,-5.518260002E-1,2.081799984E0,2.157935264E0
8.486070900E-2,5.132818222E-2,-5.494332314E-1,1.923202991E0,2.000805139E0
8.735570700E-2,-1.986980438E-2,-5.398974419E-1,1.767176151E0,1.847916558E0
8.985060300E-2,-6.574201584E-2,-5.153765678E-1,1.555668831E0,1.640134303E0
9.234537300E-2,-9.976601601E-2,-4.937000275E-1,1.407991409E0,1.495370450E0
9.484037100E-2,-1.205363274E-1,-5.050935745E-1,1.309173584E0,1.408397670E0
9.733514200E-2,-1.485068798E-1,-4.704456329E-1,1.192118645E0,1.290162877E0
9.983001500E-2,-1.419916153E-1,-4.614915848E-1,9.783706665E-1,1.091029451E0
1.023250150E-1,-1.177210808E-1,-4.416618347E-1,8.244628906E-1,9.426889663E-1
1.048197860E-1,-8.344960213E-2,-4.337792397E-1,6.915335655E-1,8.205771975E-1
1.073146310E-1,-7.762360573E-2,-4.307098389E-1,6.071591377E-1,7.484508053E-1
1.098094020E-1,-1.065444946E-2,-4.057149887E-1,4.750604630E-1,6.248204645E-1
1.123044330E-1,1.041750908E-1,-3.754386902E-1,3.691320419E-1,5.367169869E-1
1.147992810E-1,1.997799873E-1,-3.744845390E-1,3.493909836E-1,5.497497364E-1
1.172940500E-1,3.104829788E-1,-3.798360825E-1,2.822308540E-1,5.659764877E-1
1.197890480E-1,4.145364761E-1,-3.937869072E-1,2.318172455E-1,6.169666552E-1
1.222838960E-1,4.899449348E-1,-3.698024750E-1,1.938757896E-1,6.437295484E-1
1.247786900E-1,5.665233135E-1,-3.371028900E-1,1.836647987E-1,6.843389376E-1
1.272736880E-1,6.512842178E-1,-3.312902451E-1,1.734719276E-1,7.510105649E-1
1.297684590E-1,7.362413406E-1,-3.095092773E-1,1.954312325E-1,8.222169246E-1
1.322633030E-1,8.500490189E-1,-2.745575905E-1,1.591954231E-1,9.073634265E-1
1.347583030E-1,9.995946884E-1,-2.808790207E-1,6.141519547E-2,1.040122296E0
1.372530930E-1,1.136165857E0,-2.866873741E-1,5.548477173E-2,1.173090391E0
1.397479370E-1,1.222700357E0,-2.769770622E-1,1.017289162E-1,1.257800155E0
1.422427090E-1,1.332388401E0,-2.995324135E-1,1.304149628E-1,1.371855160E0
1.447377070E-1,1.375045061E0,-3.175630569E-1,1.816172600E-1,1.422877382E0
1.472325550E-1,1.452565432E0,-3.407597542E-1,2.438287735E-1,1.511792318E0
1.497273430E-1,1.490044594E0,-3.609418869E-1,2.679219246E-1,1.556372094E0
1.522223410E-1,1.504584074E0,-3.448376656E-1,2.965493202E-1,1.571823066E0
1.547171120E-1,1.472124577E0,-3.200445175E-1,3.495516777E-1,1.546533426E0
1.572119560E-1,1.423237324E0,-2.901124954E-1,4.002575874E-1,1.506643911E0
1.597069560E-1,1.408013105E0,-2.673006058E-1,4.392595291E-1,1.498966128E0
1.622017280E-1,1.364398241E0,-2.624506950E-1,4.589614868E-1,1.463252738E0
1.646965720E-1,1.302979231E0,-2.607965469E-1,4.817810059E-1,1.413464769E0
1.671915720E-1,1.253601789E0,-2.858824730E-1,4.107904434E-1,1.349812959E0
1.696863430E-1,1.182113886E0,-3.070220947E-1,3.676905632E-1,1.275481147E0
1.721811870E-1,1.024747133E0,-2.420811653E-1,3.849835396E-1,1.121125463E0
1.746759580E-1,8.847005367E-1,-1.832489967E-1,4.857530594E-1,1.025783247E0
1.771709560E-1,7.924644947E-1,-1.589913368E-1,5.133037567E-1,9.574753089E-1
1.796658050E-1,7.102754116E-1,-1.481919289E-1,4.729800224E-1,8.661189928E-1
1.821605740E-1,6.203682423E-1,-1.873879433E-1,4.996199608E-1,8.182854652E-1
1.846553430E-1,6.035797596E-1,-2.579598427E-1,5.636582375E-1,8.651950158E-1
1.871503560E-1,4.710140228E-1,-2.550067902E-1,6.371159554E-1,8.323457294E-1
1.896452040E-1,3.367288113E-1,-2.439703941E-1,6.773080826E-1,7.947666854E-1
1.921402020E-1,2.320392132E-1,-2.668943405E-1,6.686382294E-1,7.564072099E-1
1.946349740E-1,1.359715462E-1,-2.587633133E-1,5.986332893E-1,6.661895592E-1
1.971298180E-1,6.517243385E-2,-2.812004089E-1,5.811710358E-1,6.489074579E-1
1.996245450E-1,3.230810165E-2,-2.829918861E-1,5.658240318E-1,6.334706434E-1
2.021195430E-1,2.100133896E-2,-2.902159691E-1,5.905013084E-1,6.582994457E-1
